endpoint,panel,row_id,episode_id,target,transition,k_low,k_high,retained_first_low,retained_first_high,retained_second_low,retained_second_high,nested_prefix,observations_changed,row_check_pass,exact_posterior_nll_low,exact_posterior_nll_high,exact_posterior_delta,model_ascent_nll_low,model_ascent_nll_high,model_ascent_delta,model_foundation_nll,foundation_nll_identical_across_k
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0000,2b24df6fd2af0174,10,rounds_2_to_3,2,3,4 4,4 4 4,6 7,6 7 0,True,True,True,0.86507836436921,1.1881652148863393,-0.32308685051712926,1.392852121254662,1.7881784045412599,-0.3953262832865978,3.4165722178376856,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0001,5ac1124b0f4889dd,14,rounds_2_to_3,2,3,7 7,7 7 6,7 0,7 0 3,True,True,True,0.868672719971937,1.2586246499916998,-0.3899519300197628,0.47647546565198784,1.164646621730849,-0.6881711560788613,2.7827296636661707,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0002,79b7646a05030740,12,rounds_2_to_3,2,3,5 5,5 5 5,7 7,7 7 7,True,True,True,0.042730667377168935,0.002399050387700638,0.0403316169894683,0.8853119739319464,1.205796441054338,-0.32048446712239165,5.208954744032941,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0003,1c6c768073703436,6,rounds_2_to_3,2,3,0 0,0 0 0,6 6,6 6 6,True,True,True,0.04269256488145072,0.002398932782938164,0.040293632098512555,1.9861892746361056,2.3438306098254627,-0.35764133518935703,3.0170253627266566,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0004,7eacc5d36863ff63,6,rounds_2_to_3,2,3,1 1,1 1 1,5 5,5 5 5,True,True,True,0.04269256488145072,0.002398932782938164,0.040293632098512555,2.752021246196165,2.7087201432520427,0.04330110294412215,2.8920887645441313,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0005,5095f3b6663fb086,9,rounds_2_to_3,2,3,1 5,1 5 5,4 2,4 2 2,True,True,True,1.6289004615090121,2.9785729030213832,-1.349672441512371,2.4565359284834747,2.7647625806764005,-0.3082266521929258,2.3310846925103204,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0006,29d3a52e43c2a682,7,rounds_2_to_3,2,3,6 6,6 6 7,1 1,1 1 7,True,True,True,0.04268303948436085,0.14252743875254495,-0.0998443992681841,3.2545363571165122,2.948003240335941,0.3065331167805714,2.1240716518322182,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0007,4ac7acc53f4c8d53,5,rounds_2_to_3,2,3,3 2,3 2 6,2 2,2 2 2,True,True,True,0.8649075264085999,1.1881556908500526,-0.32324816444145266,2.6289292133213484,2.669250979596691,-0.040321766275342785,2.4568528382284764,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0008,1dcfd52220987572,3,rounds_2_to_3,2,3,3 3,3 3 6,5 0,5 0 0,True,True,True,0.8681584489397748,0.14288935041195533,0.7252690985278194,2.2884404493208654,2.3996793028832117,-0.11123885356234631,3.338459947130495,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0009,643853bf26c01e1b,9,rounds_2_to_3,2,3,4 3,4 3 4,5 5,5 5 5,True,True,True,0.8649075264085998,0.07264687577209784,0.792260650636502,2.491561909479226,2.902084281985658,-0.41052237250643175,2.1147670010431483,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0010,61f88f9aed2154bd,4,rounds_2_to_3,2,3,2 2,2 2 2,2 2,2 2 2,True,True,True,0.04271161594783492,0.0023989915853175605,0.04031262436251736,1.8389677039862546,1.7221815347586413,0.11678616922761331,2.5554056253288393,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0011,1081c280930491a3,8,rounds_2_to_3,2,3,1 3,1 3 1,5 7,5 7 7,True,True,True,0.9937621072903056,0.13978877917336519,0.8539733281169404,2.7344395546588034,2.645905666477869,0.08853388818093455,1.881132524533041,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0012,0d814ec922de6578,4,rounds_2_to_3,2,3,7 1,7 1 4,2 3,2 3 3,True,True,True,1.6317948195353764,1.2521300108580515,0.3796648086773249,2.836100790278433,2.6033028177361253,0.23279797254230772,2.6629134381172275,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0013,32f3e89e240e05b6,11,rounds_2_to_3,2,3,4 4,4 4 4,7 7,7 7 7,True,True,True,0.04272114161713225,0.0023990209865087228,0.04032212063062353,1.5023331955920012,2.423315581571513,-0.9209823859795117,3.864319189330391,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0014,4d19eff6ae42df5f,6,rounds_2_to_3,2,3,0 6,0 6 2,0 0,0 0 0,True,True,True,0.8647367176286134,1.1879842737060138,-0.3232475560774004,2.4595153311170534,2.4403485193155587,0.01916681180149471,2.5515137304291264,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0015,72a438d88eccb3f4,4,rounds_2_to_3,2,3,0 0,0 0 1,4 4,4 4 4,True,True,True,0.042711615947834805,0.07264740498757036,-0.029935789039735552,1.8726845136231756,2.155811765409069,-0.2831272517858934,3.513965961058501,True
qwen2p5-1p5b-instruct,sum_numeric_candidate_panel_2,sum_numeric_candidate_p02_r0016,645d9c2860a98f34,9,rounds_2_to_3,2,3,3 3,3 3 3,6 6,6 6 6,True,True,True,0.04270209036927487,0.0023989621841274855,0.040303128185147384,2.682703141635003,2.944837828671039,-0.26213468703603615,2.533668429138327,True
